id,text,created_at,retweet_count,favorite_count,source,user_id,user_screen_name,user_name,user_created_at,user_description,user_followers_count,user_friends_count,user_location,brand
1245967317437009920,"@gaIolios ive got an apple tv and three chairs rn, lmk if u want more than just that and im good to go whenever!",2020-04-03 06:52:12,0,0,Twitter for iPhone,971451097696026624,rylan_mars,ry ☾,2018-03-07 18:22:45,"cql, anime, games, art, occasional kpop, etc. • icon: @gusuta3 • matching with @jhyyhope ✨",4,28,they/them,1
1245967255302590464,"Are you Excited!?
#iPhoneSE2 #iPhone9 #Apple #iPhone2020 
#UDSTEEP",2020-04-03 06:51:57,0,0,Twitter for Android,1113133818519543808,udsteep,UDSTEEP,2019-04-02 17:39:18,TECH  ||  NEWS  ||  TIPS  ||  TRICKS,42,1,,1
1245967233135804416,@iamerikjr @asshleaf apple music student discount is $5,2020-04-03 06:51:51,0,0,Twitter for iPhone,765978445188833280,_cam214,z spin,2016-08-17 18:27:47,"i make jokes sometimes, i did not say they would be funny // ut",517,416,dallas,1
1245967203213570048,@PhilJonesNFL Guess he was a bad apple,2020-04-03 06:51:44,0,0,Twitter for iPhone,256826447,adrienneace28,Adrienne Acevedo,2011-02-24 04:24:11,💅🏽🐶🌮🏈⚾️🦋 Go Raiders Go Rockies 🖤☠️💜,30,128,"Fort Collins, CO",1
1245967193424175104,"@jon_prosser I always buy these, whenever I’m in the Apple Store buying a phone I feel obliged to buy their accessories.",2020-04-03 06:51:42,0,0,Twitter for iPhone,950412868410925059,thefakerobloxia,Barry Hackz,2018-01-08 17:04:20,#thefakerobloxialegit #BarryBins Partners [2] :@ElectroBytezLV @BattleRoyalUS @HidrexOfficial Moderator,386,1561,#ActiveGang,1
1245967172540813312,@ronniechirchir here https://t.co/oYRjbtXnO2 or dial *423# to manage your account. ^Eric,2020-04-03 06:51:37,0,0,Genesys Social Engagement.,395194959,DStv_Kenya,DStv Kenya,2011-10-21 08:50:31,DStv is Kenya's top entertainment destination. FOLLOW us for the latest entertainment & programming news.,332708,12268,"Nairobi, Kenya",1
1245967171693527044,@climacell @Apple @Android Hey. Thanks for the heads up. Your reviews in Google Play state you're too expensive to… https://t.co/FzwDg7zoIZ,2020-04-03 06:51:37,0,0,Twitter for Android,53492210,TweetsByTimB,🇹​🇮​🇲​ 🇧​,2009-07-03 20:39:02,"Blacksmith, Secret Agent and Archer, but never in that order. Also dad, husband, IT fixer, Android geek and grammar nerd. Views are through my eyes.",239,851,Nafferton,1
1245967158221230082,@nsitharaman Not available on apple App Store ma’am ! Pls share the updated link when ready.,2020-04-03 06:51:34,0,0,Twitter for iPhone,1594722672,ManchitMahajan,Manchit Mahajan,2013-07-15 02:10:21,"MBA grad, Stephanian, econ student, VC enthusiast, bit of foodie, Capricorn, meditator",106,819,"Mumbai, India",1
1245967117494579201,"@KjellBell4 Math is related to apple
And apple is related to sauce 
So apple is related to both sauce and math 
Hen… https://t.co/oaCBCWWVr8",2020-04-03 06:51:24,0,0,Twitter for Android,1167835870986039296,Mary_K_Ham,Mary Ham,2019-08-31 16:26:58,"I am Mary Ham 😎
Don't mess with me.
Approved host of @PewNewsHQ .
I'm the best host, fight me.",0,1,You'll never know ,1
1245967105176080384,"@BroBlizzy AND I’M ARMED? it’s a wrap, i’m snatching the apple jacks too https://t.co/W1ufjtjGwM",2020-04-03 06:51:21,0,0,Twitter for iPad,1215413856408915969,FaucetRevived,Faucet Water,2020-01-09 23:23:52,"officer you gonna believe me or them lying ass screenshots??? | yes i be joking, don’t take shit i say seriously, it’s just pain down here",166,348,,1
1245967090747617280,"peaches (horse), apple (hamster), bertha (hippo, but im not big on those), rocket (gorilla but they're my least fav… https://t.co/oyvG0AMUue",2020-04-03 06:51:18,0,0,Twitter Web App,1016414273441058816,auroarus,ARROW.ink 🌈🌙,2018-07-09 20:10:21,"arrow 💫 25 💫 lesbian 💫 she/her 💫 spla2n, pkmn, sims 4, llsif, acnh, etc. 💫 1/2 of @arrayink",123,266,united states 💫 cst,1
1245967088717611010,@iffyxo_ See on Apple TV,2020-04-03 06:51:17,0,0,Twitter for iPhone,575487098,hussein_gohard,Hussein Ahmed,2012-05-09 16:23:51,MN  6’5  ASSASSIN,231,172,,1
1245967081310470144,"@andywatsonsport “We made our own entertainment...stick &amp; a hoop...apple, an orange &amp; a shiny new penny for Christm… https://t.co/8beRtCSg7U",2020-04-03 06:51:15,0,0,Twitter for iPad,106809579,brfcsdotcom,BRFCS,2010-01-20 19:24:39,"BY THE FANS, FOR THE FANS SINCE 1996.  RTs not an endorsement. Forum Qs: admin@brfcs.com Podcasts: https://t.co/hxrWfekLQx",4379,276,Blackburn,1
1245967076440682496,"@outrohami HSM has songs I still listen to on Apple Music TO THIS DAY (so does camp rock but only like 3 songs, I have HSM album lmfaoo)",2020-04-03 06:51:14,0,0,Twitter for iPhone,1244018197403074561,featuringkiara,kiara☆７,2020-03-28 21:47:13,20 | ☉♋︎ ☾♊︎ ↑♏︎ v♌︎ | 🇭🇹🇲🇽 speaking 5 languages Semi-stan account | namkook and thats on gang,15,133,,1
1245967054647197697,@_hoffmanLive They will cure it with apple sauce,2020-04-03 06:51:09,0,0,Twitter for Android,75521014,Iam_Kwaku_PIC,Toontoom,2009-09-19 10:21:10,Gunner | Economist | Music Love and Life | Beijingner 🇬🇭🇨🇳,1282,993,Accra-Ghana ,1
1245967042299269121,@drewhenderson24 As in the equivalent of Apple’s Business chat.,2020-04-03 06:51:06,0,0,Twitter for iPhone,3032845737,_MDotts,Dotts,2015-02-12 15:19:32,"Think, plan, execute. “There ain’t no scraps in my scrap book.” 33.33333% of the Monkey Sword Fight Pod 🐵⚔️🥊 @MSF_Podcast",358,974,From Staten to Scotland,1
1245966964993990656,@notBrettPesce apple juice is my go-to juice if that makes sense,2020-04-03 06:50:48,0,0,Twitter for iPhone,1212401782824980481,svechnnecas,jay ✧,2020-01-01 15:54:57,canes + avs ♡ ur local apple juice addict AND #1 martin necas simp 😚,166,243,eighty eight ,1
1245966961609256967,Rod Wave best song https://t.co/rOcd2TMGl3,2020-04-03 06:50:47,0,0,Twitter for iPhone,988272846257442816,bigbosssb_,$,2018-04-23 04:26:22,IG:@brxndonhenry,338,368,"Largo, MD",1
1245966892029935621,"@DarkReflexion @AbbieIsM3 -- 22:44 
Listen or buy 
Apple Music 
Apple Music 

Buy 
Spotify 
Spotify 

Play 
Amazon… https://t.co/bCcbzgN7o1",2020-04-03 06:50:30,0,0,Twitt-RP,4778921129,DvaVibes,★ѕєяαн☆ 〈하나〉 ⁷ [RECOVERING],2016-01-11 23:55:36,『Voice Actress』【Musician】《writer:accounts listed》ΦM|ΓΣΣ|ΔΟΠ|ΔΝ|ΦΔΦ you are the star @AbbieIsM3 PSU Girl,838,598,@Caetuna 《PSN: Serah97》,1
1245966890683400192,@LeeAraoz @erinsullivan16 @LadyWesner Here is a version based on Apple’s #EveryoneCanCreate project guides.… https://t.co/Qqy0e43ZqW,2020-04-03 06:50:30,0,0,Twitter for iPhone,45100496,XpatEducator,Jamie Clark,2009-06-06 09:29:22,Director of Digital Integration | English Teacher |  Apple Distinguished Educator 2017 | The Staffroom Podcast | Educational Content Designer,8910,645,"Perth, Western Australia",1
1245966867702808576,This one too https://t.co/ilTEeH5HU0,2020-04-03 06:50:24,0,0,Twitter for iPhone,832116491910721537,FocussOnMeee,🐝Jon,2017-02-16 06:36:46,20 | Going the wrong way on a one way street 🚶🏾‍♂️,159,157,Minding my business,1
1245966747678568448,"@chendo damn it, we couldn’t even get some good news out of Apple at a time like this?",2020-04-03 06:49:56,0,0,Tweetbot for iΟS,17400671,ticky,Jessica🏳️‍🌈,2008-11-15 02:39:25,"Cute queer cybersorceress ✨
Rad software maker 🖥
Aspiring nomad 🌏
💜
https://t.co/Ja0FTvK2pY 🙆🏻‍♀️
avatar by @slimgiltsoul (see also; @mistydemeo)",1778,506,Vancouver • Melbourne,1
1245966698722852866,"@BurningLamp1 @MPIainDS @Apple True, this pandemic has shone a light on China and its hold on many countries, who k… https://t.co/JyWk0kILDY",2020-04-03 06:49:44,0,0,Twitter Web App,1065653452653686785,ChristabelleBl2,Christabelle Blue,2018-11-22 17:09:16,"Northerner, promoter of common sense - geographically misplaced!",55,33,Brighton,1
1245966665944195072,@Daniko_06 Twitter,2020-04-03 06:49:36,0,0,Twitter for iPhone,1200331600988237824,Apple__d__,🐨⚜️りんごまる⚜️🐨,2019-11-29 08:32:41,"❤︎ ☞ @_ritocha ¦ @niko_d_ ¦@08hmxx_  

#Mane連合 @_naepo❤︎ ¦FG/Prometheus箱推し

 love❤︎ @Dusk_d_ 🥀@shu_sv🥀 @arusu0513",502,240,GB⇨玲瓏〆りんご◯     JP⇨K1☂️りんご,1
1245966646554083329,"@NickBradley_1 @KeejayOV2 The markets are truly mad

How can @Apple shares be the same price 

They were at the sta… https://t.co/etgm2feytQ",2020-04-03 06:49:32,0,0,Twitter for Android,135459508,simonhcbenson,Tax,2010-04-21 10:56:12,"All I want is the chance to prove that money can't make me happy

Occasional Twitter typo due to not wearing reading glasses!!",431,924,,1
1245966627704717314,@antt_shantt By mocking someone on twitter from that country .....works 100%,2020-04-03 06:49:27,0,0,Twitter for Android,875729775092011009,The_Apple_killr,Tohar_Sincerely 🛡️,2017-06-16 15:00:23,A grandpa suffering from midlife crisis in his 20's,1536,190,Rogue ,1
1245966582175719429,@BridgetPhetasy Compass Apple 🧭 🍎 😆,2020-04-03 06:49:16,0,0,Twitter for iPhone,8700672,yoryitsa,y,2007-09-06 03:17:19,1st gen 🇺🇸 on my pop’s side 🇬🇷/ Daughter of the American Revolution on my mom’s side🇨🇭🇬🇧🇮🇪🏴󠁧󠁢󠁳󠁣󠁴󠁿. Sis to a Marine. Southern island gal in Chi.,240,437,🍄between☁dreams🐇,1
1245966552253583360,"@kfrhoads @AMLandryMD @maddow @ReedeScholars MANUFACTURERS of #PPE (including #3D printers):
@Stratasys… https://t.co/BvyfvEZY94",2020-04-03 06:49:09,0,0,Twitter Web App,734815785831403520,KeshaGreen4U,Kesha Green,2016-05-23 18:38:30,I'm bringing digital & community talk to the potluck. What makes 0s & 1s delicious? Connection. Feel free to follow me on Instagram:,138,360,,1
1245966539502714880,@sixcellphones Feeling like I’m at the apple store in LA,2020-04-03 06:49:06,0,0,Twitter for iPhone,3275428243,ThatQuietGemini,thehotdavegrohl,2015-07-11 08:09:57,no regards,445,670,FifClub,1
1245966517780516866,@TheInfamous321 @ScheenDoug @eBay @Apple How you know what I want and what I dont? I was pointing that you are LITE… https://t.co/s16EEKCQAB,2020-04-03 06:49:01,0,0,Twitter for Android,181344222,nahuelroark,Nahuel Roark,2010-08-21 23:39:31,"como te ven te tratan, si te ven mal te maltratan y si te ven bien la pones seguro!!!!",1956,210,United States,1
1245966497996029952,"@1415Quid @PeteLau .Has an animoji as its avatar
.Talks about the coronavirus being ""overdramatic"" with a video of… https://t.co/ZC3svrMtHW",2020-04-03 06:48:56,0,0,Twitter Web App,4769354487,ButteredToast12,Buttered Toast,2016-01-11 01:00:53,,0,13,,1
1245966475577475072,@trixandkatdaily If only it was available on apple podcasts 😭,2020-04-03 06:48:51,0,0,Twitter for iPhone,985323549966651392,pokebunnie,harley the thiccorita,2018-04-15 01:06:55,she/they • 27 • queer/nb • amiibo card seller • gamer • sex worker (hiatus) • dumbass • bunny in human suit • pfp @bbyufo • no minors please!,709,612,ko-fi.com/harleysamiibo,1
1245966464168996865,@DaPandaGirl5 Apple,2020-04-03 06:48:48,0,0,Twitter for Android,1209540797865091072,Pineapp54480939,🍍ℙ𝕚𝕟𝕖𝕒𝕡𝕡𝕝𝕖🍍,2019-12-24 18:26:31,Hi. Curently on the verge of quiting adopt me. its disgusting how scammers just get away like that. adopt me is ruined cuz of scammers.,23,141,,1
1245966460117286912,@graphiar @TheRolen @handballnut @9to5mac @MKBHD @apollozac I don't think it will get so much better autonomy. Firs… https://t.co/p9JaQmbZHH,2020-04-03 06:48:47,0,1,Twitter for Android,1520630654,gainzage,Gera 😷 09/12/2018,2013-06-15 22:57:55,"Traductor, cuasi gamer. Nunca fui TT. Fundamentalista de las papas fritas, ex joven y seinfeldista. Una vez me hice el boludo y quedé así.",121,290,"Ingeniero Huergo, Río Negro",1
1245966394979684354,@puffmuffie @PicsArtStudio this happened with me too once i reported the purchase to apple and let them know i coul… https://t.co/C83U06TwvG,2020-04-03 06:48:32,0,0,Twitter for iPhone,948263246930370560,gingercakesxo,chubby 😋,2018-01-02 18:42:30,18+ backup 💫 $5 onlyfans 80+ pics/vids 🥵 dms open for custom content/video chat - cashapp only,84,71,usa,1
1245966380949811203,@brokesince88 @beeyonceknight @xoshamieh @bdotTM There’s no panel of people deciding this shit. Billboard is a metr… https://t.co/vJICn74uU6,2020-04-03 06:48:28,0,0,Twitter for iPhone,1153081075897384960,inlovewithaSagg,༺ Ｂｅｙ 2 K 🧸 ༻,2019-07-21 23:15:26,"“that porch look real regular, where you at?”",562,691,,1
